id,name,slot,category,rarity,source,price,asset
"camp-cap","Camp Cap","hat","Hats","Common","token","30","/cosmetics/assets/baseball-cap.png"
"camp-cap-forest","Forest Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-forest.png"
"camp-cap-navy","Navy Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-navy.png"
"camp-cap-burgundy","Burgundy Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-burgundy.png"
"camp-cap-charcoal","Charcoal Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-charcoal.png"
"camp-cap-tan","Tan Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-tan.png"
"camp-cap-rose","Rose Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-rose.png"
"camp-cap-gold","Gold Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-gold.png"
"camp-cap-cream","Cream Camp Cap","hat","Hats","Common","token","35","/cosmetics/assets/baseball-cap-cream.png"
"cowboy-hat","Cowboy Hat","hat","Hats","Uncommon","token","50","/cosmetics/assets/cowboy-hat.png"
"cowboy-hat-forest","Forest Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-forest.png"
"cowboy-hat-navy","Navy Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-navy.png"
"cowboy-hat-burgundy","Burgundy Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-burgundy.png"
"cowboy-hat-charcoal","Charcoal Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-charcoal.png"
"cowboy-hat-tan","Tan Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-tan.png"
"cowboy-hat-rose","Rose Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-rose.png"
"cowboy-hat-gold","Gold Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-gold.png"
"cowboy-hat-cream","Cream Cowboy Hat","hat","Hats","Uncommon","token","55","/cosmetics/assets/cowboy-hat-cream.png"
"winter-toque","Cabin Knit Toque","hat","Hats","Common","token","35","/cosmetics/assets/knit-beanie.png"
"winter-toque-forest","Forest Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-forest.png"
"winter-toque-navy","Navy Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-navy.png"
"winter-toque-burgundy","Burgundy Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-burgundy.png"
"winter-toque-charcoal","Charcoal Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-charcoal.png"
"winter-toque-tan","Tan Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-tan.png"
"winter-toque-rose","Rose Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-rose.png"
"winter-toque-gold","Gold Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-gold.png"
"winter-toque-cream","Cream Cabin Knit Toque","hat","Hats","Uncommon","token","40","/cosmetics/assets/knit-beanie-cream.png"
"firefighter-helmet","Firefighter Helmet","hat","Hats","Rare","achievement","120","/cosmetics/assets/firefighter-helmet.png"
"birthday-crown","Birthday Crown","hat","Birthday","Epic","event","150","/cosmetics/assets/birthday-crown.png"
"tiara","Family Tiara","hat","Birthday","Epic","token","150","/cosmetics/assets/tiara.png"
"legendary-top-hat","Legendary Top Hat","hat","Legendary","Family Legendary","token","250","/cosmetics/assets/legendary-top-hat.svg"
"flower-crown","Garden Flower Clip","hair","Hair Accessories","Common","token","35","/cosmetics/assets/flower-hair-clip.png"
"aviator-sunglasses","Aviator Sunglasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/aviator-sunglasses.svg"
"aviator-sunglasses-navy","Navy Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-navy.svg"
"aviator-sunglasses-burgundy","Burgundy Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-burgundy.svg"
"aviator-sunglasses-forest","Forest Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-forest.svg"
"aviator-sunglasses-charcoal","Charcoal Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-charcoal.svg"
"aviator-sunglasses-gold","Gold Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-gold.svg"
"aviator-sunglasses-silver","Silver Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-silver.svg"
"aviator-sunglasses-teal","Teal Aviator Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-teal.svg"
"round-glasses","Reading Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/reading-glasses.svg"
"round-glasses-navy","Navy Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-navy.svg"
"round-glasses-burgundy","Burgundy Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-burgundy.svg"
"round-glasses-forest","Forest Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-forest.svg"
"round-glasses-charcoal","Charcoal Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-charcoal.svg"
"round-glasses-gold","Gold Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-gold.svg"
"round-glasses-silver","Silver Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-silver.svg"
"round-glasses-teal","Teal Reading Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/reading-glasses-teal.svg"
"classic-glasses","Classic Glasses","glasses","Eyewear","Common","token","30","/cosmetics/assets/classic-glasses.svg"
"classic-glasses-navy","Navy Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-navy.svg"
"classic-glasses-burgundy","Burgundy Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-burgundy.svg"
"classic-glasses-forest","Forest Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-forest.svg"
"classic-glasses-charcoal","Charcoal Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-charcoal.svg"
"classic-glasses-gold","Gold Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-gold.svg"
"classic-glasses-silver","Silver Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-silver.svg"
"classic-glasses-teal","Teal Classic Glasses","glasses","Eyewear","Common","token","35","/cosmetics/assets/classic-glasses-teal.svg"
"sunglasses","Trail Sunglasses","glasses","Eyewear","Uncommon","token","45","/cosmetics/assets/aviator-sunglasses-charcoal.svg"
"heart-glasses","Rose Party Glasses","glasses","Eyewear","Uncommon","token","50","/cosmetics/assets/classic-glasses-rose.svg"
"safety-glasses","Shop Safety Glasses","glasses","Eyewear","Uncommon","token","40","/cosmetics/assets/classic-glasses-silver.svg"
